"SHN_Id","Datnai","Sexe","Catlib","FedNom","Discipline","Club","DepLib","RegionLib","Fin de droits","Date début"
"shn11947","1986","M         ","Elite","SAVATE","Combat","SAVATE NIMOISE (30)","GARD","LANGUEDOC-ROUSSILLON","10/31/2016","11/1/2014"
"shn11948","1995","M         ","Espoir","AVIRON","Aviron","ROUEN CNA","SEINE-MARITIME","HAUTE-NORMANDIE","10/31/2015","11/1/2014"
"shn11949","2001","F         ","Espoir","BASKET-BALL","Basket-ball","WASQUEHAL FEM B","PAS-DE-CALAIS","NORD-PAS-DE-CALAIS","10/31/2015","11/1/2014"
"shn11950","1999","F         ","Jeune","BOWLING","Bowling","BEAUNE BOWL","COTE-D'OR","BOURGOGNE","10/31/2015","11/1/2014"
"shn11951","1999","F         ","Espoir","CYCLISME","Velo tout terrain (vtt)","Avenir Cycliste Cusset","ALLIER","AUVERGNE","10/31/2015","11/1/2014"
"shn11952","2000","M         ","Espoir","FOOTBALL","Football","ES LA ROCHELLE","CHARENTE-MARITIME","POITOU-CHARENTES","10/31/2015","11/1/2014"
"shn11953","1985","M         ","Reconversion","HANDBALL","Handball","Cesson-Rennes MHB","HERAULT","LANGUEDOC-ROUSSILLON","10/31/2015","11/1/2014"
"shn11954","1999","F         ","Espoir","JUDO","Judo","KETSUGO ANGERS","MAINE-ET-LOIRE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn11955","1982","M         ","Reconversion","JUDO","Judo","ETOILE SP DE BLANC MESNIL JUDO","SEINE-SAINT-DENIS","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn11956","1985","F         ","Elite","SAVATE","Combat","PUNCH BLAGNAC SAVATE (31)","HAUTE-GARONNE","MIDI-PYRENEES","10/31/2016","11/1/2014"
"shn11957","1975","M         ","Reconversion","SURF","Surfboard","SURF CLUB LES ROCHES NOIRES","REUNION","REUNION","10/31/2015","11/1/2014"
